starting_date,duration,snow,floods,storm,hurricane,rain,cold,hot,comment
2009-04-10,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°189
2009-04-06,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°188
2009-03-31,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°187
2009-02-08,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°186
2009-01-31,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°185
2009-01-18,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°184
2009-01-04,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°183
2008-12-13,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°182
2008-12-02,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°181
2008-11-29,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°180
2008-11-27,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°179
2008-11-21,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°178
2008-11-09,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°177
2008-10-30,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°176
2008-10-26,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°175
2008-10-20,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°174
2008-09-11,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°173
2008-09-03,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°172
2008-08-30,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°171
2008-08-05,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°170
2008-07-31,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°168
2008-07-27,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°167
2008-05-23,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°166
2008-05-18,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°165
2008-05-16,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°164
2008-05-03,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°163
2008-04-19,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°160
2008-04-08,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°159
2008-03-20,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°158
2008-03-09,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°157
2008-01-29,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°156
2008-01-14,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°155
2008-01-13,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°154
2008-01-11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°153
2008-01-03,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°152
2008-01-02,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°151
2008-01-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°150
2007-12-14,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°149
2007-12-08,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°148
2007-11-30,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°147
2007-11-19,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°146
2007-11-19,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°145
2007-11-17,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°144
2007-11-14,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°143
2007-10-29,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°142
2007-10-29,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°141
2007-10-24,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°140
2007-09-21,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°139
2007-09-16,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°138
2007-08-28,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°137
2007-08-20,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°136
2007-08-14,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°135
2007-08-13,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°134
2007-08-05,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°133
2007-07-31,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°132
2007-07-15,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°131
2007-07-07,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°130
2007-06-30,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°129
2007-06-03,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°128
2007-05-31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°127
2007-05-26,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°126
2007-05-23,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°125
2007-05-12,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°124
2007-04-28,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°123
2007-04-11,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°122
2007-03-16,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Bulletin Spécial N°121
2007-02-28,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°120
2007-02-27,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°119
2007-02-17,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°118
2007-02-15,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°117
2007-02-09,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°116
2007-01-21,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°115
2007-01-21,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°114
2007-01-16,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°113
2007-01-09,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°111
2006-12-14,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°110
2006-12-07,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°109
2006-12-04,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°108
2006-12-01,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°106
2006-11-23,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°105
2006-11-15,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°104
2006-10-22,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°103
2006-10-16,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°102
2006-10-01,6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°101
2006-09-23,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°100
2006-09-11,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°99
2006-08-23,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°98
2006-08-14,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°97
2006-07-29,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bulletin Spécial N°96
2006-07-25,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°95
2006-07-19,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°94
2006-07-16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bulletin Spécial N°93
2006-07-03,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°92
2006-06-30,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bulletin Spécial N°91
2006-06-27,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°90
2006-06-23,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°89
2006-06-19,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°88
2006-05-16,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Bulletin Spécial N°87
2006-03-06,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°86
2006-03-01,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°85
2006-02-27,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°84
2006-02-22,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°83
2006-02-11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°82
2006-01-22,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°81
2006-01-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°80
2006-01-05,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°79
2005-12-25,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°77
2005-12-24,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°76
2005-12-08,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°75
2005-12-03,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°74
2005-12-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°73
2005-11-30,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°72
2005-11-20,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°71
2005-11-09,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°70
2005-11-03,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°69
2005-11-01,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°68
2005-10-30,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°67
2005-10-25,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°66
2005-10-17,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°65
2005-10-12,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°64
2005-10-09,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°63
2005-09-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°62
